Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Belum Menikah,2nd phase - general contingent,5,Animation and Multimedia Design,Daytime,Secondary education,122,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,Layanan dan Jasa,Belum/Tidak Bekerja,127,Iya,Tidak,Tidak,Iya,Laki-laki,Tidak,20,Tidak,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,Dropout
Belum Menikah,International student (bachelor),1,Tourism,Daytime,Secondary education,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Spesialis IT/Teknisi,Spesialis IT/Teknisi,142,Iya,Tidak,Tidak,Tidak,Laki-laki,Tidak,19,Tidak,0,6,6,6,14,0,0,6,6,6,13,0,13,0,0,Graduate
Belum Menikah,1st phase - general contingent,5,Communication Design,Daytime,Secondary education,122,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,124,Iya,Tidak,Tidak,Tidak,Laki-laki,Tidak,19,Tidak,0,6,0,0,0,0,0,6,0,0,0,0,10,1,1,Dropout
Belum Menikah,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,122,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Layanan dan Jasa,Spesialis IT/Teknisi,119,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,20,Tidak,0,6,8,6,13,0,0,6,10,5,12,0,9,0,-3,Graduate
Sudah Menikah,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,100,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,141,Tidak,Tidak,Tidak,Iya,Perempuan,Tidak,45,Tidak,0,6,9,5,12,0,0,6,6,6,13,0,13,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Nursing,Daytime,Secondary education,142,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Konstruksi/Transportasi,Tentara,128,Iya,Tidak,Tidak,Iya,Perempuan,Iya,18,Tidak,0,7,9,7,13,0,0,8,8,8,14,0,15,2,-4,Graduate
Belum Menikah,3rd phase - general contingent,4,Tourism,Daytime,Secondary education,119,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,113,Iya,Tidak,Tidak,Tidak,Laki-laki,Tidak,22,Tidak,0,5,5,0,0,0,0,5,5,0,0,0,15,2,-4,Dropout
Belum Menikah,1st phase - general contingent,3,Social Service,Daytime,Secondary education,137,Romanian,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Belum/Tidak Bekerja,Belum/Tidak Bekerja,129,Tidak,Tidak,Tidak,Iya,Perempuan,Iya,21,Iya,0,6,8,6,13,0,0,6,7,6,14,0,16,0,0,Graduate
Belum Menikah,1st phase - general contingent,1,Social Service,Daytime,Secondary education,138,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Manajemen/Administrasi,Konstruksi/Transportasi,123,Iya,Tidak,Iya,Tidak,Perempuan,Tidak,18,Tidak,0,6,9,5,11,0,0,6,14,2,13,0,8,1,3,Dropout
Belum Menikah,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,139,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Layanan dan Jasa,Konstruksi/Transportasi,130,Iya,Tidak,Tidak,Iya,Perempuan,Tidak,18,Tidak,0,6,6,6,12,0,0,6,7,5,14,0,13,0,0,Graduate
